Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02,5.5,5.59,5.48,5.57,6635400,0,0
2020-01-03,5.62,5.69,5.57,5.62,4245700,0,0
2020-01-06,5.51,5.57,5.51,5.55,2267300,0,0
2020-01-07,5.55,5.7,5.52,5.6,2913400,0,0
2020-01-08,5.58,5.58,5.51,5.55,3041200,0,0
2020-01-09,5.55,5.64,5.53,5.6,4500800,0,0
2020-01-10,5.6,5.62,5.57,5.6,3527700,0,0
2020-01-13,5.69,5.69,5.53,5.54,7181100,0,0
2020-01-14,5.56,5.59,5.51,5.57,4080200,0,0
2020-01-15,5.52,5.57,5.5,5.55,6519700,0,0
2020-01-16,5.53,5.58,5.52,5.58,1425500,0,0
2020-01-17,5.57,5.65,5.57,5.63,3160800,0,0
2020-01-20,5.63,5.71,5.62,5.68,5041500,0,0
2020-01-21,5.7,5.74,5.68,5.73,5963300,0,0
2020-01-22,5.7,5.93,5.7,5.86,7587000,0,0
2020-01-23,5.86,5.86,5.8,5.82,6506700,0,0
2020-01-24,5.82,5.82,5.69,5.79,3626200,0,0
2020-01-28,5.68,5.94,5.68,5.89,6029400,0,0
2020-01-29,5.89,5.94,5.75,5.8,12135500,0,0
2020-01-30,5.75,5.86,5.72,5.8,6050800,0,0
2020-01-31,5.82,5.88,5.61,5.7,7665800,0,0
2020-02-03,5.7,5.8,5.62,5.65,5945800,0,0
2020-02-04,5.7,5.78,5.68,5.72,6440500,0,0
2020-02-05,5.68,5.77,5.67,5.73,3410800,0,0
2020-02-06,5.87,5.87,5.71,5.77,6447300,0,0
2020-02-07,5.77,5.8,5.69,5.78,2333800,0,0
2020-02-10,5.82,5.82,5.74,5.77,3233900,0,0
2020-02-11,5.7,5.83,5.64,5.7,3181400,0,0
2020-02-12,5.77,5.83,5.67,5.74,3567500,0,0
2020-02-13,5.79,5.8,5.77,5.79,7174000,0,0
2020-02-14,5.8,5.81,5.78,5.81,5706800,0,0
2020-02-17,5.8,5.84,5.8,5.82,3441400,0,0
2020-02-18,5.78,5.83,5.78,5.82,3939400,0,0
2020-02-19,5.8,5.85,5.78,5.82,9102900,0,0
2020-02-20,5.81,5.82,5.8,5.81,4300500,0,0
2020-02-21,5.72,5.85,5.72,5.74,5410200,0,0
2020-02-24,5.45,5.83,5.45,5.6,3536500,0,0
2020-02-25,5.48,5.7,5.48,5.69,4870200,0,0
2020-02-26,5.56,5.7,5.56,5.66,5965800,0,0
2020-02-27,5.7,5.77,5.58,5.68,3204900,0,0
2020-02-28,5.6,5.81,5.6,5.7,6011500,0,0
2020-03-02,5.6,5.73,5.6,5.68,7340500,0,0
2020-03-03,5.7,5.72,5.52,5.6,5645600,0,0
2020-03-04,5.6,5.63,5.55,5.6,5334500,0,0
2020-03-05,5.58,5.66,5.54,5.6,3398700,0,0
2020-03-06,5.56,5.81,5.56,5.75,3291700,0,0
2020-03-09,5.65,5.77,5.54,5.69,8292000,0,0
2020-03-10,5.69,5.74,5.56,5.59,8510600,0,0
2020-03-11,5.59,5.64,5.57,5.59,6572000,0,0
2020-03-12,5.59,5.62,5.42,5.56,7043700,0,0
2020-03-13,5.35,5.55,5.26,5.38,8703200,0,0
2020-03-16,5.38,5.38,4.86,5.0,13146900,0,0
2020-03-17,4.8,4.88,4.61,4.68,18070200,0,0
2020-03-18,4.55,5.12,4.55,4.8,9901500,0,0
2020-03-19,4.91,5.15,4.76,5.15,3446200,0,0
2020-03-20,5.19,5.19,5.04,5.17,14461500,0,0
2020-03-23,4.8,4.93,4.6,4.81,7098400,0,0
2020-03-24,4.81,5.0,4.81,4.92,4249900,0,0
2020-03-25,4.95,5.33,4.95,5.1,1563700,0,0
2020-03-26,5.1,5.38,5.01,5.38,4665200,0,0
2020-03-27,5.37,5.37,5.21,5.3,4792600,0,0
2020-03-30,5.2,5.2,5.1,5.15,4780200,0,0
2020-03-31,5.19,5.3,5.16,5.16,6784600,0,0
2020-04-01,5.15,5.16,5.05,5.05,4173900,0,0
2020-04-02,5.03,5.16,5.02,5.06,7425200,0,0
2020-04-03,5.1,5.1,4.98,5.02,3843400,0,0
2020-04-06,5.01,5.08,4.95,5.03,5096200,0,0
2020-04-07,5.12,5.2,5.02,5.12,4730500,0,0
2020-04-08,5.07,5.16,5.04,5.14,2893300,0,0
2020-04-09,5.2,5.2,5.1,5.11,5716700,0,0
2020-04-10,5.1,5.12,5.06,5.09,2382400,0,0
2020-04-13,5.09,5.12,5.06,5.11,4347900,0,0
2020-04-14,5.08,5.11,5.05,5.09,6987800,0,0
2020-04-15,5.15,5.25,5.1,5.23,3549000,0,0
2020-04-16,5.22,5.25,5.15,5.23,4426300,0,0
2020-04-17,5.2,5.29,5.2,5.22,7910000,0,0
2020-04-20,5.28,5.34,5.23,5.23,3637500,0,0
2020-04-21,5.23,5.25,5.13,5.13,2437500,0,0
2020-04-22,5.07,5.16,5.0,5.12,5596100,0,0
2020-04-23,5.14,5.27,5.12,5.2,2482900,0,0
2020-04-24,5.13,5.28,5.11,5.11,5501400,0,0
2020-04-27,5.11,5.22,5.11,5.11,1195800,0,0
2020-04-28,5.11,5.18,5.11,5.12,3284400,0,0
2020-04-29,5.18,5.22,5.16,5.21,2657900,0,0
2020-04-30,5.18,5.26,5.17,5.25,4316200,0,0
2020-05-04,5.15,5.18,5.09,5.15,2837700,0,0
2020-05-05,5.22,5.23,5.15,5.18,1213400,0,0
2020-05-06,5.24,5.24,5.17,5.19,2318900,0,0
2020-05-08,5.15,5.26,5.11,5.16,2397800,0,0
2020-05-12,5.16,5.23,5.13,5.16,2368900,0,0
2020-05-13,5.14,5.43,5.14,5.35,3346600,0,0
2020-05-14,5.39,5.6,5.39,5.47,6918500,0,0
2020-05-15,5.49,5.59,5.47,5.49,1662400,0,0
2020-05-18,5.5,5.58,5.34,5.49,2589900,0,0
2020-05-19,5.57,5.58,5.47,5.5,1955600,0,0
2020-05-20,5.6,5.69,5.45,5.69,1357500,0,0
2020-05-21,5.69,5.88,5.53,5.7,2405200,0,0
2020-05-22,5.7,5.7,5.38,5.43,5252200,0,0
2020-05-27,5.43,5.48,5.38,5.45,8819000,0,0
2020-05-28,5.49,5.5,5.45,5.46,4892500,0,0
2020-05-29,5.5,5.5,5.37,5.43,7143000,0,0
2020-06-03,5.55,5.62,5.49,5.5,6028500,0,0
2020-06-04,5.51,5.63,5.5,5.59,6727800,0,0
2020-06-05,5.54,5.64,5.54,5.55,3084700,0,0
2020-06-09,5.55,5.81,5.55,5.63,4693100,0,0
2020-06-10,5.6,5.62,5.53,5.57,5603300,0,0
2020-06-11,5.65,5.65,5.44,5.5,4696700,0,0
2020-06-12,5.5,5.54,5.43,5.43,1848100,0,0
2020-06-15,5.41,5.5,5.41,5.42,2338400,0,0
2020-06-16,5.43,5.59,5.42,5.43,1576600,0,0
2020-06-17,5.43,5.44,5.36,5.39,5300600,0,0
2020-06-18,5.4,5.43,5.39,5.4,1599500,0,0
